BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
Aply16_c00309_NODE_30...region001	c00309_NODE_30..	NODE_309_length_47458_cov_6.334979	terpene	Terpene		
Aply16_c00323_NODE_32...region001	c00323_NODE_32..	NODE_323_length_46029_cov_8.047396	terpene	Terpene		
Aply16_c00378_NODE_37...region001	c00378_NODE_37..	NODE_378_length_41976_cov_8.850147	LAP	RiPPs		
Aply16_c00404_NODE_40...region001	c00404_NODE_40..	NODE_404_length_39364_cov_8.659137	T3PKS	PKSother		
Aply16_c00529_NODE_52...region001	c00529_NODE_52..	NODE_529_length_31884_cov_7.025040	T1PKS	PKSI		
Aply16_c00721_NODE_72...region001	c00721_NODE_72..	NODE_721_length_25294_cov_6.146321	lanthipeptide.bacteriocin	RiPPs		
Aply16_c00731_NODE_73...region001	c00731_NODE_73..	NODE_731_length_25002_cov_21.307251	bacteriocin	RiPPs		
Aply16_c00787_NODE_78...region001	c00787_NODE_78..	NODE_787_length_23605_cov_3.645860	terpene	Terpene		
Aply16_c00877_NODE_87...region001	c00877_NODE_87..	NODE_877_length_21750_cov_5.055543	T1PKS	PKSI		
Aply16_c00927_NODE_92...region001	c00927_NODE_92..	NODE_927_length_20647_cov_6.216200	thiopeptide	RiPPs		
Aply16_c00979_NODE_97...region001	c00979_NODE_97..	NODE_979_length_19826_cov_2.764099	betalactone	Others		
Aply16_c00989_NODE_98...region001	c00989_NODE_98..	NODE_989_length_19666_cov_8.959971	NRPS-like	NRPS		
Aply16_c00991_NODE_99...region001	c00991_NODE_99..	NODE_991_length_19636_cov_6.490527	T1PKS	PKSI		
Aply16_c01054_NODE_10...region001	c01054_NODE_10..	NODE_1054_length_18680_cov_7.312859	T1PKS	PKSI		
Aply16_c01065_NODE_10...region001	c01065_NODE_10..	NODE_1065_length_18574_cov_5.705600	bacteriocin	RiPPs		
Aply16_c01167_NODE_11...region001	c01167_NODE_11..	NODE_1167_length_17311_cov_7.713259	terpene	Terpene		
Aply16_c01180_NODE_11...region001	c01180_NODE_11..	NODE_1180_length_17188_cov_5.720364	terpene	Terpene		
Aply16_c01350_NODE_13...region001	c01350_NODE_13..	NODE_1350_length_15499_cov_4.788203	terpene	Terpene		
Aply16_c01392_NODE_13...region001	c01392_NODE_13..	NODE_1392_length_15169_cov_6.069935	terpene	Terpene		
Aply16_c01463_NODE_14...region001	c01463_NODE_14..	NODE_1463_length_14499_cov_4.317710	T1PKS	PKSI		
Aply16_c01507_NODE_15...region001	c01507_NODE_15..	NODE_1507_length_14131_cov_6.414820	bacteriocin	RiPPs		
Aply16_c01576_NODE_15...region001	c01576_NODE_15..	NODE_1576_length_13742_cov_8.915833	arylpolyene	Others		
Aply16_c01615_NODE_16...region001	c01615_NODE_16..	NODE_1615_length_13450_cov_7.813513	arylpolyene	Others		
Aply16_c01627_NODE_16...region001	c01627_NODE_16..	NODE_1627_length_13387_cov_5.887189	bacteriocin	RiPPs		
Aply16_c01662_NODE_16...region001	c01662_NODE_16..	NODE_1662_length_13167_cov_7.147804	T1PKS	PKSI		
Aply16_c01704_NODE_17...region001	c01704_NODE_17..	NODE_1704_length_12898_cov_4.582963	terpene	Terpene		
Aply16_c01931_NODE_19...region001	c01931_NODE_19..	NODE_1931_length_11810_cov_12.315355	terpene	Terpene		
Aply16_c01951_NODE_19...region001	c01951_NODE_19..	NODE_1951_length_11729_cov_11.413654	terpene	Terpene		
Aply16_c02020_NODE_20...region001	c02020_NODE_20..	NODE_2020_length_11450_cov_4.235103	T1PKS	PKSI		
Aply16_c02062_NODE_20...region001	c02062_NODE_20..	NODE_2062_length_11283_cov_4.540791	betalactone	Others		
Aply16_c02135_NODE_21...region001	c02135_NODE_21..	NODE_2135_length_10961_cov_6.351916	T1PKS	PKSI		
Aply16_c02157_NODE_21...region001	c02157_NODE_21..	NODE_2157_length_10919_cov_4.329897	terpene	Terpene		
Aply16_c02158_NODE_21...region001	c02158_NODE_21..	NODE_2158_length_10914_cov_11.632747	terpene	Terpene		
Aply16_c02234_NODE_22...region001	c02234_NODE_22..	NODE_2234_length_10642_cov_3.928119	NRPS-like	NRPS		
Aply16_c02292_NODE_22...region001	c02292_NODE_22..	NODE_2292_length_10413_cov_10.016799	terpene	Terpene		
Aply16_c02657_NODE_26...region001	c02657_NODE_26..	NODE_2657_length_9399_cov_4.332620	NRPS	NRPS		
Aply16_c02675_NODE_26...region001	c02675_NODE_26..	NODE_2675_length_9354_cov_4.981826	bacteriocin	RiPPs		
Aply16_c03067_NODE_30...region001	c03067_NODE_30..	NODE_3067_length_8542_cov_2.438907	LAP	RiPPs		
Aply16_c03173_NODE_31...region001	c03173_NODE_31..	NODE_3173_length_8331_cov_3.879169	terpene	Terpene		
Aply16_c03238_NODE_32...region001	c03238_NODE_32..	NODE_3238_length_8235_cov_3.696455	terpene	Terpene		
Aply16_c03244_NODE_32...region001	c03244_NODE_32..	NODE_3244_length_8220_cov_4.477526	lassopeptide	RiPPs		
Aply16_c03530_NODE_35...region001	c03530_NODE_35..	NODE_3530_length_7746_cov_4.675855	terpene	Terpene		
Aply16_c03620_NODE_36...region001	c03620_NODE_36..	NODE_3620_length_7602_cov_2.202465	T1PKS	PKSI		
Aply16_c03728_NODE_37...region001	c03728_NODE_37..	NODE_3728_length_7451_cov_9.246485	terpene	Terpene		
Aply16_c03755_NODE_37...region001	c03755_NODE_37..	NODE_3755_length_7405_cov_3.616190	NRPS-like	NRPS		
Aply16_c04061_NODE_40...region001	c04061_NODE_40..	NODE_4061_length_7041_cov_3.862582	terpene	Terpene		
Aply16_c04098_NODE_40...region001	c04098_NODE_40..	NODE_4098_length_6995_cov_3.039481	T3PKS	PKSother		
Aply16_c04111_NODE_41...region001	c04111_NODE_41..	NODE_4111_length_6980_cov_2.969964	bacteriocin	RiPPs		
Aply16_c04321_NODE_43...region001	c04321_NODE_43..	NODE_4321_length_6741_cov_7.450344	T1PKS	PKSI		
Aply16_c04792_NODE_47...region001	c04792_NODE_47..	NODE_4792_length_6310_cov_5.099760	T1PKS	PKSI		
Aply16_c04810_NODE_48...region001	c04810_NODE_48..	NODE_4810_length_6300_cov_3.812650	terpene	Terpene		
Aply16_c05105_NODE_51...region001	c05105_NODE_51..	NODE_5105_length_6049_cov_2.605606	terpene	Terpene		
Aply16_c05131_NODE_51...region001	c05131_NODE_51..	NODE_5131_length_6022_cov_6.012402	bacteriocin	RiPPs		
Aply16_c05206_NODE_52...region001	c05206_NODE_52..	NODE_5206_length_5966_cov_5.280663	NRPS-like	NRPS		
Aply16_c05338_NODE_53...region001	c05338_NODE_53..	NODE_5338_length_5868_cov_1.965766	terpene	Terpene		
Aply16_c05745_NODE_57...region001	c05745_NODE_57..	NODE_5745_length_5575_cov_5.629167	NRPS-like	NRPS		
Aply16_c06076_NODE_60...region001	c06076_NODE_60..	NODE_6076_length_5346_cov_2.936496	terpene	Terpene		
Aply16_c06090_NODE_60...region001	c06090_NODE_60..	NODE_6090_length_5337_cov_9.620598	terpene	Terpene		
Aply16_c06380_NODE_63...region001	c06380_NODE_63..	NODE_6380_length_5168_cov_3.401721	T1PKS	PKSI		
Aply16_c06673_NODE_66...region001	c06673_NODE_66..	NODE_6673_length_4996_cov_5.051407	bacteriocin	RiPPs		
Aply16_c06721_NODE_67...region001	c06721_NODE_67..	NODE_6721_length_4968_cov_2.883981	T1PKS	PKSI		
Aply16_c06754_NODE_67...region001	c06754_NODE_67..	NODE_6754_length_4950_cov_1.722778	bacteriocin	RiPPs		
Aply16_c06824_NODE_68...region001	c06824_NODE_68..	NODE_6824_length_4911_cov_4.015445	bacteriocin	RiPPs		
Aply16_c07579_NODE_75...region001	c07579_NODE_75..	NODE_7579_length_4567_cov_2.910904	T1PKS	PKSI		
Aply16_c07760_NODE_77...region001	c07760_NODE_77..	NODE_7760_length_4493_cov_4.215412	T1PKS	PKSI		
Aply21_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_449586_cov_21.524484	terpene	Terpene		
Aply21_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_391088_cov_21.032435	terpene	Terpene		
Aply21_c00008_NODE_8_...region001	c00008_NODE_8_..	NODE_8_length_274076_cov_11.439740	terpene	Terpene		
Aply21_c00016_NODE_16...region001	c00016_NODE_16..	NODE_16_length_203880_cov_17.950242	arylpolyene	Others		
Aply21_c00064_NODE_64...region001	c00064_NODE_64..	NODE_64_length_112539_cov_6.132170	T1PKS	PKSI		
Aply21_c00079_NODE_79...region001	c00079_NODE_79..	NODE_79_length_102184_cov_5.428057	terpene	Terpene		
Aply21_c00084_NODE_84...region001	c00084_NODE_84..	NODE_84_length_101035_cov_6.944583	betalactone	Others		
Aply21_c00103_NODE_10...region001	c00103_NODE_10..	NODE_103_length_89466_cov_9.466978	NRPS-like	NRPS		
Aply21_c00112_NODE_11...region001	c00112_NODE_11..	NODE_112_length_86670_cov_10.857403	terpene	Terpene		
Aply21_c00135_NODE_13...region001	c00135_NODE_13..	NODE_135_length_77141_cov_8.245687	NRPS-like	NRPS		
Aply21_c00165_NODE_16...region001	c00165_NODE_16..	NODE_165_length_69712_cov_17.377981	terpene	Terpene		
Aply21_c00172_NODE_17...region001	c00172_NODE_17..	NODE_172_length_66921_cov_8.609398	terpene	Terpene		
Aply21_c00182_NODE_18...region001	c00182_NODE_18..	NODE_182_length_65665_cov_12.680674	NRPS-like	NRPS		
Aply21_c00222_NODE_22...region001	c00222_NODE_22..	NODE_222_length_56110_cov_7.200161	terpene	Terpene		
Aply21_c00227_NODE_22...region001	c00227_NODE_22..	NODE_227_length_55440_cov_6.842719	T1PKS	PKSI		
Aply21_c00237_NODE_23...region001	c00237_NODE_23..	NODE_237_length_53819_cov_7.353043	terpene	Terpene		
Aply21_c00272_NODE_27...region001	c00272_NODE_27..	NODE_272_length_48431_cov_5.949665	T1PKS	PKSI		
Aply21_c00279_NODE_27...region001	c00279_NODE_27..	NODE_279_length_47384_cov_20.796488	bacteriocin	RiPPs		
Aply21_c00307_NODE_30...region001	c00307_NODE_30..	NODE_307_length_43932_cov_6.955694	betalactone	Others		
Aply21_c00338_NODE_33...region001	c00338_NODE_33..	NODE_338_length_40840_cov_26.276817	T3PKS	PKSother		
Aply21_c00383_NODE_38...region001	c00383_NODE_38..	NODE_383_length_36974_cov_9.569219	bacteriocin	RiPPs		
Aply21_c00466_NODE_46...region001	c00466_NODE_46..	NODE_466_length_31882_cov_5.345838	NRPS-like	NRPS		
Aply21_c00485_NODE_48...region001	c00485_NODE_48..	NODE_485_length_30273_cov_5.804719	bacteriocin	RiPPs		
Aply21_c00510_NODE_51...region001	c00510_NODE_51..	NODE_510_length_28811_cov_5.991793	terpene	Terpene		
Aply21_c00552_NODE_55...region001	c00552_NODE_55..	NODE_552_length_26463_cov_17.255756	bacteriocin	RiPPs		
Aply21_c00604_NODE_60...region001	c00604_NODE_60..	NODE_604_length_24352_cov_5.598057	T1PKS	PKSI		
Aply21_c00613_NODE_61...region001	c00613_NODE_61..	NODE_613_length_23736_cov_6.410582	NRPS-like	NRPS		
Aply21_c00647_NODE_64...region001	c00647_NODE_64..	NODE_647_length_22138_cov_2.628266	terpene	Terpene		
Aply21_c00661_NODE_66...region001	c00661_NODE_66..	NODE_661_length_21916_cov_10.210741	terpene	Terpene		
Aply21_c00723_NODE_72...region001	c00723_NODE_72..	NODE_723_length_19793_cov_6.692421	terpene	Terpene		
Aply21_c00888_NODE_88...region001	c00888_NODE_88..	NODE_888_length_15812_cov_3.357302	T1PKS	PKSI		
Aply21_c00941_NODE_94...region001	c00941_NODE_94..	NODE_941_length_15037_cov_4.296823	terpene	Terpene		
Aply21_c00965_NODE_96...region001	c00965_NODE_96..	NODE_965_length_14639_cov_3.010354	T1PKS	PKSI		
Aply21_c00973_NODE_97...region001	c00973_NODE_97..	NODE_973_length_14572_cov_3.362403	bacteriocin	RiPPs		
Aply21_c01041_NODE_10...region001	c01041_NODE_10..	NODE_1041_length_13706_cov_15.745367	terpene	Terpene		
Aply21_c01131_NODE_11...region001	c01131_NODE_11..	NODE_1131_length_12460_cov_7.923257	bacteriocin	RiPPs		
Aply21_c01167_NODE_11...region001	c01167_NODE_11..	NODE_1167_length_12163_cov_5.016353	phosphonate	Others		
Aply21_c01199_NODE_11...region001	c01199_NODE_11..	NODE_1199_length_11950_cov_2.270366	terpene	Terpene		
Aply21_c01256_NODE_12...region001	c01256_NODE_12..	NODE_1256_length_11457_cov_3.687686	terpene	Terpene		
Aply21_c01259_NODE_12...region001	c01259_NODE_12..	NODE_1259_length_11436_cov_11.305685	terpene	Terpene		
Aply21_c01264_NODE_12...region001	c01264_NODE_12..	NODE_1264_length_11430_cov_2.314198	lassopeptide	RiPPs		
Aply21_c01269_NODE_12...region001	c01269_NODE_12..	NODE_1269_length_11392_cov_2.737850	T1PKS	PKSI		
Aply21_c01274_NODE_12...region001	c01274_NODE_12..	NODE_1274_length_11343_cov_15.765326	terpene	Terpene		
Aply21_c01278_NODE_12...region001	c01278_NODE_12..	NODE_1278_length_11325_cov_4.018545	NRPS-like	NRPS		
Aply21_c01303_NODE_13...region001	c01303_NODE_13..	NODE_1303_length_11109_cov_4.353899	T1PKS	PKSI		
Aply21_c01424_NODE_14...region001	c01424_NODE_14..	NODE_1424_length_10354_cov_3.701719	T1PKS	PKSI		
Aply21_c01746_NODE_17...region001	c01746_NODE_17..	NODE_1746_length_8957_cov_1.880926	terpene	Terpene		
Aply21_c01838_NODE_18...region001	c01838_NODE_18..	NODE_1838_length_8675_cov_3.689211	T1PKS	PKSI		
Aply21_c01937_NODE_19...region001	c01937_NODE_19..	NODE_1937_length_8373_cov_8.947103	terpene	Terpene		
Aply21_c02074_NODE_20...region001	c02074_NODE_20..	NODE_2074_length_8035_cov_3.194862	terpene	Terpene		
Aply21_c02192_NODE_21...region001	c02192_NODE_21..	NODE_2192_length_7745_cov_3.204421	NRPS-like	NRPS		
Aply21_c02557_NODE_25...region001	c02557_NODE_25..	NODE_2557_length_7069_cov_3.327488	bacteriocin	RiPPs		
Aply21_c02746_NODE_27...region001	c02746_NODE_27..	NODE_2746_length_6746_cov_3.014647	terpene	Terpene		
Aply21_c03266_NODE_32...region001	c03266_NODE_32..	NODE_3266_length_6137_cov_0.219829	terpene	Terpene		
Aply21_c03281_NODE_32...region001	c03281_NODE_32..	NODE_3281_length_6123_cov_2.256098	bacteriocin	RiPPs		
Aply21_c03603_NODE_36...region001	c03603_NODE_36..	NODE_3603_length_5790_cov_1.983435	T1PKS	PKSI		
Aply21_c04759_NODE_47...region001	c04759_NODE_47..	NODE_4759_length_4867_cov_3.212386	bacteriocin	RiPPs		
Aply21_c04862_NODE_48...region001	c04862_NODE_48..	NODE_4862_length_4806_cov_1.371290	terpene	Terpene		
Aply21_c04952_NODE_49...region001	c04952_NODE_49..	NODE_4952_length_4745_cov_3.391684	terpene	Terpene		
Aply21_c05053_NODE_50...region001	c05053_NODE_50..	NODE_5053_length_4687_cov_3.702073	terpene	Terpene		
Aply21_c05214_NODE_52...region001	c05214_NODE_52..	NODE_5214_length_4600_cov_2.049945	NRPS-like	NRPS		
Aply21_c05502_NODE_55...region001	c05502_NODE_55..	NODE_5502_length_4458_cov_2.544174	T3PKS	PKSother		
Aply21_c05559_NODE_55...region001	c05559_NODE_55..	NODE_5559_length_4428_cov_3.346673	T1PKS	PKSI		
Aply21_c05590_NODE_55...region001	c05590_NODE_55..	NODE_5590_length_4412_cov_2.373193	terpene	Terpene		
Aply21_c05919_NODE_59...region001	c05919_NODE_59..	NODE_5919_length_4248_cov_6.787980	bacteriocin	RiPPs		
Aply21_c06336_NODE_63...region001	c06336_NODE_63..	NODE_6336_length_4066_cov_1.206183	terpene	Terpene		
Aply21_c06352_NODE_63...region001	c06352_NODE_63..	NODE_6352_length_4062_cov_5.977290	bacteriocin	RiPPs		
Aply22_c00010_NODE_10...region001	c00010_NODE_10..	NODE_10_length_349601_cov_9.751097	terpene	Terpene		
Aply22_c00015_NODE_15...region001	c00015_NODE_15..	NODE_15_length_291234_cov_12.085312	T1PKS	PKSI		
Aply22_c00021_NODE_21...region001	c00021_NODE_21..	NODE_21_length_250481_cov_17.304405	terpene	Terpene		
Aply22_c00022_NODE_22...region001	c00022_NODE_22..	NODE_22_length_243824_cov_13.851827	terpene	Terpene		
Aply22_c00025_NODE_25...region001	c00025_NODE_25..	NODE_25_length_233799_cov_13.600084	oligosaccharide	Saccharides		
Aply22_c00028_NODE_28...region001	c00028_NODE_28..	NODE_28_length_227952_cov_11.435157	terpene	Terpene		
Aply22_c00031_NODE_31...region001	c00031_NODE_31..	NODE_31_length_220587_cov_13.051943	terpene	Terpene		
Aply22_c00035_NODE_35...region001	c00035_NODE_35..	NODE_35_length_212447_cov_7.418311	terpene	Terpene		
Aply22_c00040_NODE_40...region001	c00040_NODE_40..	NODE_40_length_204458_cov_12.019696	NRPS-like	NRPS		
Aply22_c00048_NODE_48...region001	c00048_NODE_48..	NODE_48_length_193523_cov_9.274495	betalactone	Others		
Aply22_c00055_NODE_55...region001	c00055_NODE_55..	NODE_55_length_182676_cov_16.212533	T1PKS	PKSI		
Aply22_c00057_NODE_57...region001	c00057_NODE_57..	NODE_57_length_180166_cov_13.247808	terpene	Terpene		
Aply22_c00071_NODE_71...region001	c00071_NODE_71..	NODE_71_length_156896_cov_10.241888	T1PKS	PKSI		
Aply22_c00072_NODE_72...region001	c00072_NODE_72..	NODE_72_length_155882_cov_19.312776	terpene	Terpene		
Aply22_c00076_NODE_76...region001	c00076_NODE_76..	NODE_76_length_152020_cov_15.384687	betalactone	Others		
Aply22_c00078_NODE_78...region001	c00078_NODE_78..	NODE_78_length_150933_cov_7.585168	phosphonate	Others		
Aply22_c00089_NODE_89...region001	c00089_NODE_89..	NODE_89_length_142200_cov_23.771135	terpene	Terpene		
Aply22_c00116_NODE_11...region001	c00116_NODE_11..	NODE_116_length_120925_cov_18.210896	NRPS-like	NRPS		
Aply22_c00127_NODE_12...region001	c00127_NODE_12..	NODE_127_length_116345_cov_11.365913	T1PKS	PKSI		
Aply22_c00133_NODE_13...region001	c00133_NODE_13..	NODE_133_length_115179_cov_15.108518	NRPS-like	NRPS		
Aply22_c00134_NODE_13...region001	c00134_NODE_13..	NODE_134_length_115127_cov_11.343585	bacteriocin	RiPPs		
Aply22_c00143_NODE_14...region001	c00143_NODE_14..	NODE_143_length_109765_cov_14.434363	terpene	Terpene		
Aply22_c00152_NODE_15...region001	c00152_NODE_15..	NODE_152_length_107722_cov_20.815236	LAP.bacteriocin	RiPPs		
Aply22_c00157_NODE_15...region001	c00157_NODE_15..	NODE_157_length_105635_cov_13.578178	bacteriocin	RiPPs		
Aply22_c00158_NODE_15...region001	c00158_NODE_15..	NODE_158_length_105617_cov_8.262216	terpene	Terpene		
Aply22_c00167_NODE_16...region001	c00167_NODE_16..	NODE_167_length_101718_cov_14.452485	terpene	Terpene		
Aply22_c00175_NODE_17...region001	c00175_NODE_17..	NODE_175_length_100761_cov_22.928842	NRPS-like	NRPS		
Aply22_c00196_NODE_19...region001	c00196_NODE_19..	NODE_196_length_96195_cov_11.366684	betalactone	Others		
Aply22_c00219_NODE_21...region001	c00219_NODE_21..	NODE_219_length_91252_cov_15.831398	T3PKS	PKSother		
Aply22_c00225_NODE_22...region001	c00225_NODE_22..	NODE_225_length_89154_cov_7.937036	terpene	Terpene		
Aply22_c00233_NODE_23...region001	c00233_NODE_23..	NODE_233_length_88409_cov_8.479627	bacteriocin	RiPPs		
Aply22_c00242_NODE_24...region001	c00242_NODE_24..	NODE_242_length_86353_cov_11.235637	terpene	Terpene		
Aply22_c00276_NODE_27...region001	c00276_NODE_27..	NODE_276_length_81266_cov_10.540666	NRPS-like	NRPS		
Aply22_c00280_NODE_28...region001	c00280_NODE_28..	NODE_280_length_80794_cov_8.497442	T1PKS	PKSI		
Aply22_c00285_NODE_28...region001	c00285_NODE_28..	NODE_285_length_79688_cov_9.066505	terpene	Terpene		
Aply22_c00296_NODE_29...region001	c00296_NODE_29..	NODE_296_length_76685_cov_10.490056	other	Others		
Aply22_c00310_NODE_31...region001	c00310_NODE_31..	NODE_310_length_74436_cov_20.539062	lassopeptide	RiPPs		
Aply22_c00328_NODE_32...region001	c00328_NODE_32..	NODE_328_length_72372_cov_7.481975	terpene	Terpene		
Aply22_c00331_NODE_33...region001	c00331_NODE_33..	NODE_331_length_71147_cov_16.117355	T1PKS	PKSI		
Aply22_c00344_NODE_34...region001	c00344_NODE_34..	NODE_344_length_69177_cov_7.999740	T1PKS	PKSI		
Aply22_c00355_NODE_35...region001	c00355_NODE_35..	NODE_355_length_67833_cov_7.636165	betalactone	Others		
Aply22_c00362_NODE_36...region001	c00362_NODE_36..	NODE_362_length_66718_cov_7.774013	terpene	Terpene		
Aply22_c00384_NODE_38...region001	c00384_NODE_38..	NODE_384_length_65086_cov_27.038812	terpene	Terpene		
Aply22_c00408_NODE_40...region001	c00408_NODE_40..	NODE_408_length_62459_cov_13.632924	terpene	Terpene		
Aply22_c00443_NODE_44...region001	c00443_NODE_44..	NODE_443_length_59292_cov_11.932694	NRPS-like	NRPS		
Aply22_c00445_NODE_44...region001	c00445_NODE_44..	NODE_445_length_59245_cov_16.225342	TfuA-related.proteusin.bacteriocin	RiPPs		
Aply22_c00452_NODE_45...region001	c00452_NODE_45..	NODE_452_length_58539_cov_7.316309	terpene	Terpene		
Aply22_c00482_NODE_48...region001	c00482_NODE_48..	NODE_482_length_56487_cov_7.807627	T1PKS	PKSI		
Aply22_c00498_NODE_49...region001	c00498_NODE_49..	NODE_498_length_55490_cov_17.905800	terpene	Terpene		
Aply22_c00503_NODE_50...region001	c00503_NODE_50..	NODE_503_length_55222_cov_15.821234	terpene	Terpene		
Aply22_c00543_NODE_54...region001	c00543_NODE_54..	NODE_543_length_51744_cov_12.401439	bacteriocin	RiPPs		
Aply22_c00561_NODE_56...region001	c00561_NODE_56..	NODE_561_length_50628_cov_12.237834	T1PKS	PKSI		
Aply22_c00562_NODE_56...region001	c00562_NODE_56..	NODE_562_length_50610_cov_8.090021	bacteriocin	RiPPs		
Aply22_c00580_NODE_58...region001	c00580_NODE_58..	NODE_580_length_49479_cov_14.612901	other	Others		
Aply22_c00651_NODE_65...region001	c00651_NODE_65..	NODE_651_length_45775_cov_13.092323	T1PKS	PKSI		
Aply22_c00658_NODE_65...region001	c00658_NODE_65..	NODE_658_length_45385_cov_19.323472	terpene	Terpene		
Aply22_c00674_NODE_67...region001	c00674_NODE_67..	NODE_674_length_44636_cov_21.151253	terpene	Terpene		
Aply22_c00713_NODE_71...region001	c00713_NODE_71..	NODE_713_length_42989_cov_7.388364	bacteriocin	RiPPs		
Aply22_c00731_NODE_73...region001	c00731_NODE_73..	NODE_731_length_42398_cov_12.519000	T1PKS	PKSI		
Aply22_c00842_NODE_84...region001	c00842_NODE_84..	NODE_842_length_37940_cov_14.257965	T1PKS	PKSI		
Aply22_c00881_NODE_88...region001	c00881_NODE_88..	NODE_881_length_36800_cov_9.479439	arylpolyene	Others		
Aply22_c00902_NODE_90...region001	c00902_NODE_90..	NODE_902_length_36237_cov_9.376347	terpene	Terpene		
Aply22_c00904_NODE_90...region001	c00904_NODE_90..	NODE_904_length_36195_cov_18.492972	T1PKS	PKSI		
Aply22_c01031_NODE_10...region001	c01031_NODE_10..	NODE_1031_length_32736_cov_7.794957	NRPS-like	NRPS		
Aply22_c01076_NODE_10...region001	c01076_NODE_10..	NODE_1076_length_31549_cov_6.620023	terpene	Terpene		
Aply22_c01128_NODE_11...region001	c01128_NODE_11..	NODE_1128_length_30640_cov_7.658722	NRPS-like	NRPS		
Aply22_c01166_NODE_11...region001	c01166_NODE_11..	NODE_1166_length_29634_cov_11.322222	terpene	Terpene		
Aply22_c01247_NODE_12...region001	c01247_NODE_12..	NODE_1247_length_27749_cov_11.783022	terpene	Terpene		
Aply22_c01278_NODE_12...region001	c01278_NODE_12..	NODE_1278_length_26953_cov_8.339393	betalactone	Others		
Aply22_c01292_NODE_12...region001	c01292_NODE_12..	NODE_1292_length_26708_cov_13.592954	bacteriocin	RiPPs		
Aply22_c01309_NODE_13...region001	c01309_NODE_13..	NODE_1309_length_26367_cov_11.998138	T1PKS	PKSI		
Aply22_c01340_NODE_13...region001	c01340_NODE_13..	NODE_1340_length_25894_cov_7.088548	bacteriocin	RiPPs		
Aply22_c01384_NODE_13...region001	c01384_NODE_13..	NODE_1384_length_25262_cov_5.117428	betalactone	Others		
Aply22_c01401_NODE_14...region001	c01401_NODE_14..	NODE_1401_length_25048_cov_8.384908	LAP.thiopeptide	RiPPs		
Aply22_c01433_NODE_14...region001	c01433_NODE_14..	NODE_1433_length_24546_cov_5.568413	betalactone	Others		
Aply22_c01491_NODE_14...region001	c01491_NODE_14..	NODE_1491_length_23809_cov_38.900648	bacteriocin	RiPPs		
